,variable,value,estimate,organism
0,Gal1_paulo_2015,0.034942224116367326,fermentation,yeast
1,Gal2_paulo_2015,0.03559049603953951,fermentation,yeast
2,Gal3_paulo_2015,0.03556437232246669,fermentation,yeast
3,Glu1_paulo_2015,0.053752295468558225,fermentation,yeast
4,Glu2_paulo_2015,0.05358090079832974,fermentation,yeast
5,Glu3_paulo_2015,0.051940932178082266,fermentation,yeast
6,KUL,0.16699393750081123,fermentation,yeast
7,LAHT,0.11272132986301717,fermentation,yeast
8,Nagaraj_Abundance,0.15189902269708624,fermentation,yeast
9,Newman_minimal_Abundance,0.12067697680378767,fermentation,yeast
10,Newman_rich_Abundance,0.16352170787352793,fermentation,yeast
11,PENG,0.05689457752914796,fermentation,yeast
12,Raf1_paulo_2015,0.045650206692693596,fermentation,yeast
13,Raf2_paulo_2015,0.04447770937170198,fermentation,yeast
14,Raf3_paulo_2015,0.042997619973827145,fermentation,yeast
15,THAK,0.05323765220206399,fermentation,yeast
16,WEB,0.028227623176001547,fermentation,yeast
17,bartolomeo_2020_GluRepl1,0.09955090332796956,fermentation,yeast
18,bartolomeo_2020_GluRepl2,0.1011311990005872,fermentation,yeast
19,bartolomeo_2020_GluRepl3,0.09709875798421898,fermentation,yeast
20,deGodoy_Abundance,0.16939204583913367,fermentation,yeast
21,gao_2021_intensity,0.1901762888670475,fermentation,yeast
22,kito_2016_glu_1,0.07673429425268262,fermentation,yeast
23,kito_2016_glu_2,0.0681295456332913,fermentation,yeast
24,kito_2016_glu_3,0.07384483518854737,fermentation,yeast
25,morgenstein_2017_GlcRep1,0.19637323151303016,fermentation,yeast
26,morgenstein_2017_GlcRep2,0.21139684873190517,fermentation,yeast
27,morgenstein_2017_GlcRep3,0.22574474580097995,fermentation,yeast
28,paulo_fructose,0.051817732969863646,fermentation,yeast
29,paulo_glucose,0.04836165015279888,fermentation,yeast
30,paulo_maltose,0.0639621943054308,fermentation,yeast
31,paulo_sucrose,0.045812870309065945,fermentation,yeast
32,paulo_trehalose,0.04877539612761197,fermentation,yeast
